Vm	"Xr.fast/Xr,slow"
-20	0.25
-10.2	0.365
0.356	0.811
10.5	1
20.6	1.01
30.7	0.885
40.8	0.784
50.5	0.73
	
	
Vm	tau active
-0.28	2.02E+03
9.77	306
19.7	113
30.1	32.3
40	32.3
50.3	16.1
	
	
	
Vm	"tauxr,fast deactive"
-49.9	281
-39.9	438
-29.8	653
-19.9	589
	
	
Vm	"tauxr,slow deactive"
-69.8	4.68E+03
-59.9	2.79E+03
-49.9	2.06E+03
-39.7	5.25E+03
-29.8	9.28E+03
-19.9	7.84E+03
0.268	1.95E+03
	
	
	
Vm	"weight of taux,fast"
-69.8	0.623
-59.8	0.52
-49.8	0.498
-39.9	0.379
-30.2	0.33
-19.9	0.318
	
	
	
Vm	Ikr tail (norm)
-20	0.162
-9.67	0.266
-0.109	0.669
9.84	0.922
19.8	1.01
29.6	0.961
39.9	0.909
50	0.916
