Vm	Rk1inf				
-138	0.994				
-129	1				
-118	0.966				
-108	0.866				
-98.6	0.595				
-88.9	0.245				
-77.3	0.238				
-68.2	0.0959				
-59.8	0.0533				
-49.8	0.0321				
-39	0.00387				
-28.3	0.00419				
-19	0.00446				
-9.82	-0.00955				
0.949	-0.00923				
11	-0.00179				
20.9	-0.00863				
29.4	-0.00838				
39.4	-0.0152				
50.2	-0.000618				
62.5	-0.000252				
					
				Kout = 20 mM	
				Vm	Xk1inf
					
					
					
					
					
					
					
Vm	tau_xk1				
-170	20				
-160	26.7				
-150	33.2				
-140	36.6				
-130	37.1				
-120	35.4				
					
					
					
Vm	Ik1				
-139	-21.3				
-130	-17.4				
-119	-13.3				
-110	-8.81				
-100	-3.73				
-90.8	-0.645				
-80.7	0.131				
-70.6	0.446				
-60.5	0.453				
-51.1	0.459				
-39.6	0.159				
-29.5	0.166				
-20.1	0.0188				
-9.28	0.0262				
-0.624	-0.122				
9.47	-0.115				
18.1	-0.109				
29.7	-0.101				
39.8	-0.0941				
50.6	-0.0867				
59.9	0.0736				
