Vm	minf
-85.4	0.00562
-75.5	0
-65.1	0
-54.7	0.00562
-44.8	0.0393
-35.4	0.236
-25	0.579
-15.6	0.798
-5.21	0.904
4.69	0.961
14.6	0.978
24.5	0.989
34.4	0.989
44.3	0.994
	
	
	
Vm	tau_m
-50.2	0.475
-40.2	0.317
-30.1	0.212
-20.1	0.158
-10.1	0.145
-0.0733	0.131
	
	
	
	
Vm	"hinf,jinf"
-114	0.975
-109	0.985
-104	0.957
-94	0.85
-84	0.575
-73.5	0.183
-64.3	0.0372
-53.4	0.00823
-43.8	-0.00383
-34.2	-0.00473
	
	
Vm	"tau_h,fast"
-49.7	1.9
-39.9	0.91
-29.7	0.704
-19.6	0.516
-9.69	0.361
	
	
	
Vm	"tau_h,slow"
-49.3	5.59
-39.7	5.16
-29.6	3.95
-19.5	3.02
-9.51	4.02
	
	
	
vm	tau_j
-141	2.15
-92.5	7.41
-65.7	12.9
-41.5	25.6
-17.4	29.1
	
	
vm	fast Ina
-98.8	0.0101
-89	0.00964
-78.6	0.0092
-68.9	-0.0333
-58.6	-0.177
-49.2	-0.557
-39	-0.894
-30.1	-0.996
-19.6	-0.954
-9.7	-0.845
1.57	-0.71
11.5	-0.551
21.4	-0.366
32	-0.164
40.6	-0.00425
52.6	0.181
72	0.0703
