Vm	dinf
-30.3	0.033
-25.2	0.0226
-20.3	0.0122
-15.2	0.0447
-9.83	0.195
-4.98	0.473
-0.135	0.719
4.98	0.87
9.83	0.95
14.9	0.999
24.9	1.01
29.8	0.994
	
	
Vm	"tauf,fast"
-39.7	33.1
-20	118
-9.87	57.4
-0.15	31.6
10.4	12.4
20.1	14.7
30.2	6.22
	
	
Vm	"tauf,slow"
-40	0.138
-20.1	1.09
-10	14.8
-0.27	10.7
10.3	1.8
20.4	2.27
	
	
	
Vm	"finf,fcainf,Jcainf"
-49.8	0.995
-39.9	0.995
-35	0.995
-29.9	0.957
-24.8	0.823
-20	0.516
-14.9	0.226
-10.1	0.086
-4.97	0.0323
-0.134	0.0108
4.97	0
10.1	0.00538
14.9	0.00538
	
	
	
	
	
Vm	"weight of tauf,fast"
-40.1	0.424
-20.3	0.783
-10.2	0.631
-0.0935	0.48
9.63	0.308
19.7	0.308
29.8	0.207
	
	
	
Vm	IcaL
-30.2	-0.24
-25.2	-0.16
-20.4	-5.33E-15
-15.3	-0.48
-10.2	-2.72
-4.87	-6.56
-0.0402	-9.2
5.03	-10.3
9.54	-10
14.8	-9.52
19.9	-8.4
24.9	-7.12
29.9	-5.84
34.9	-4.4
40	-3.2
45	-2.16
49.8	-1.04
54.8	0.08
