Vm	ainf
-39.9	0.00971
-29.9	0.0349
-19.9	0.0969
-9.79	0.204
0.277	0.315
10.3	0.422
20.1	0.566
30.1	0.723
40.6	0.871
50.7	1.01
60.3	0.979
	
	
	
Vm	iinf
-90.7	0.966
-80.6	0.961
-70.5	0.931
-60	0.921
-50.2	0.783
-40.2	0.305
-30.3	0.0887
-20.1	0.0493
-10	0.0345
-0.153	0.0394
	
	
Vm	"taui,fast"
-0.149	5.15
9.88	4.8
20.1	4.75
30.1	4.74
40	4.59
49.8	4.54
	
	
Vm	"taui,slow"
-0.28	67.9
9.83	22.5
19.9	28.8
29.9	29.2
39.9	23.7
50.1	23.1
	
	
	
Vm	"weight of taui,fast"
-0.153	0.841
10.1	0.744
20.1	0.793
29.9	0.781
40.2	0.761
50.2	0.754
	
	
	
Vm	Ito
-41.9	0.00324
-32.5	0.0275
-23.2	0.0558
-13.8	0.105
-4.78	0.182
4.55	0.268
13.9	0.395
22.9	0.538
31.9	0.71
41.2	0.881
50.3	1
